YEAR SUMMARY,,,,,
YEAR_TOTAL_USAGE (kWh),19809.3,,,,
YEAR_AVG_TEMP_HI (F),78,,,,
YEAR_AVG_TEMP_LO (F),69,,,,
YEAR,MONTH,MONTH_USAGE (kWh),MONTH_COST ($),MONTH_AVG_TEMP_HI,MONTH_AVG_TEMP_LO (F)
test,500,500,1,1,1
test,1000,1000,2,2,2
test,2000,2000,3,3,3
test,2317,2317,3,3,3
2021,Feb,448,53.07,57,49
2021,Mar,1178,131.26,71,60
2021,Apr,1316.2,144.54,75,66
2021,May,2073.8,242.21,80,73
2021,Jun,2820.9,336.7,87,79
2021,Jul,3424.2,444.84,87,80
2021,Aug,3557.9,470.99,89,81
2021,Sep,2553.5,385.56,85,75
2021,Oct,2317.4,372.2,79,71
2021,Nov,1352.2,222.88,67,59
2021,Dec,1525,245.11,71,65
2022,Jan,1108.6,185.08,59,49
2022,Feb,1063.3,177.54,59,47
2022,Mar,1173.9,189.36,69,58
2022,Apr,1957.7,308.84,78,69
2022,May,3044.6,479.17,85,76
2022,Jun,3427.8,559.2,91,81
2022,Jul,3310.4,581.62,92,82
2022,Aug,3363.7,588.71,88,81
2022,Sep,2830.2,521.04,86,75
2022,Oct,1994.8,382.28,77,66
2022,Nov,117,22.93,70,62
